###### EMPLOYEE-PASSWORDS ######
onyppvdbaf -- kalliroi.stamatiadis@gmail.com
nhnnadamwu -- megaklis.gerouki@forthnet.gr
acpqzfxhpm -- giorgos49@hotmail.gr
ghaisdtxuk -- qchantzi@hotmail.gr
gkhnihpqhq -- pantazis46@otenet.gr
lbdtlmtmtz -- wkatakis@hol.gr
ijxboghtwc -- doukissa72@gmail.com
zoibcdneug -- pothiti24@gmail.com
wvhzqhmfaw -- euthymia.papagiannis@hol.gr
xijbvtctac -- komkoudis.promitheas@hol.gr
zfbeqrlbhz -- dorothea.miliadou@hol.gr
omtoonkwfw -- pinelopi60@googlemail.gr
vicxxzkbes -- alexandridou.sarra@hotmail.gr
jeesiqxyhc -- niki09@googlemail.gr
gbqcqgputu -- theoni52@hol.gr
yvbvoebrnh -- eustratia.athanasopoulos@hotmail.gr
yorkzwwglb -- gerakina61@googlemail.gr
ahfmfpxoll -- kalliniki88@googlemail.gr
hggvkqrrcw -- orfeas52@hol.gr
skphnyupnd -- stamoulis.asimina@googlemail.gr
nryqgfkgpk -- stefania.aslanidou@forthnet.gr
poizalghge -- zampeta.moraiti@googlemail.gr
ujpdnhvxvy -- kimon00@gmail.com
xcqnypjmir -- ippokratis90@hotmail.gr
nkwjvubvgv -- fani14@gmail.com
pxgybgcipq -- polyzois.pankidou@forthnet.gr
mfnvzbdqrx -- symeon.mandros@yahoo.gr
kdqhgzyhua -- reggina.pallas@yahoo.gr
oxvipviiik -- ioanna35@otenet.gr
tljxjcljqw -- zormpas.erotokritos@yahoo.gr
vvcqslqwrm -- agapios93@forthnet.gr
gxnodjljfw -- maurikios66@forthnet.gr
qktonlzgqk -- iason.falieros@hotmail.gr
emulxcbwik -- pkravvaritis@hotmail.gr
fdvlpahxww -- ymanousopoulou@gmail.com
benfsmwkjc -- dimos.mpotziori@forthnet.gr
tkpxmhjyyy -- titos60@hotmail.gr
pgtqopguof -- antipatros65@otenet.gr
pwfkulznzl -- cpatsouras@hotmail.gr
odkanotehd -- mauros50@googlemail.gr
srbdyetvmi -- nikolaos.chontzia@gmail.com
ixtnajvxsn -- eumenios.miliaki@googlemail.gr
zfvjtywzim -- eumorfia.galani@forthnet.gr
###### PROVIDER-PASSWORDS ######
uotvexelgf -- customercare@elpedison.gr
uprnhanvlz -- info@eunice-group.com
sonbuuzdky -- cs@nrg.gr
ddayfutvqf -- info@ote-estate.gr
cxovnylgxf -- info@prot-energy.gr
lhuirgmoft -- supply@soumpasis.gr
vjgdnbpmqj -- customercare@volterra.gr
xwvoygnbao -- info@volton.gr
krvfakewmf -- info@dei.com.gr
fuikmsnwoo -- info@elin.gr
pdcsakugox -- info@zenith.gr
wyoyxgkkcv -- customercare@heron.gr
uqrqiflzlg -- customerservice@fysikoaerioellados.gr
